GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MVC,mvc.controller,Book,0,53,0,0,0,19,0,10,0,10
MVC,mvc.controller,BCMessage,0,15,0,0,0,6,0,3,0,3
MVC,mvc.controller,BookManagerController,0,72,0,8,0,19,0,12,0,8
MVC,mvc.view,MainFX,18,665,1,23,6,172,1,26,0,14
MVC,mvc.model,BookManager,0,99,0,6,0,20,0,9,0,6
MVC,mvc.model,BookManagerSubject,0,39,0,2,0,11,0,6,0,5
